comment_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react
ct_72;king-chang perspective;today i swear to wearing TIGHT pants like vv;;;;x;
ct_74;Collin;free Palestine;;;;x;
ct_75;Gary Banjosandwitch Worthington;ROCK ON;x;;;;
ct_76;Matt Kreiner;:sign_of_the_horns::sign_of_the_horns:;x;;;;X
ct_77;Alessandro Milan;Sound quality is incredible. Thanks Arte.;x;;x;;
ct_78;Víctor Hernández;Slowdive Please;;;;x;
ct_79;Julian Gomez;This is so cool :winking_face_with_tongue:, thx ARTE ;x;;;;
ct_83;Delphine Delannoy;:red_heart:;x;;;;
ct_86;Julian Gomez;:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:;x;;;;X
ct_87;Alberto zenon Perez perez;:thanksdoc:;x;;;;
ct_88;camoux57;Hey vraiment cool ce concert merci ARTE :smiling_face_with_heart_eyes:;x;;;;
ct_90;Julian Gomez;What a nice psychedelic rock sound! ;x;;x;;
ct_91;Валентина Пузанова;:red_heart:;x;;;;
ct_93;MonkeyAC;Alison Mosshart you're the best;x;;;;
ct_94;Julian Gomez;@arte: are you showing the Air concert on Saturday? :smirking_face:;;;;x;
ct_95;Валентина Пузанова;Merci, Art:two_hearts:;x;;;;
ct_96;king-chang perspective;:face-purple-smiling-fangs:;x;;;;
ct_97;MonkeyAC;:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:;x;;;;
ct_98;MonkeyAC;love you The Kills still same energy and aura on stage;x;;x;;
ct_102;MonkeyAC;:red_heart::red_heart::red_heart::red_heart:;x;;;;
ct_104;Julian Gomez;:rolling_on_the_floor_laughing:;x;;;;
ct_105;élodie Jacques;yeahhhhhhh. thx si much :face_blowing_a_kiss::face_blowing_a_kiss:;x;;;;
ct_108;Julian Gomez;:sign_of_the_horns::index_pointing_up:;x;;;;X
ct_110;Alejandria Rodriguez;Alison wooooooooooooooooooow:fire::fire::fire::fire::fire::fire::fire:;x;;;;
ct_111;sébastien *M* ;:musical_note::musical_note::winking_face_with_tongue:;x;;x;;
ct_114;king-chang perspective;🕺🏻💃🏻🕺🏻💃🏻🕺🏻💃🏻🕺🏻💃🏻;x;;;;X
ct_115;Валентина Пузанова;super:guitar::heart_exclamation::smiling_face_with_hearts:;X;;x;;
ct_116;Валентина Пузанова;:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:;x;;;;X
ct_119;MonkeyAC;Come on Alison tell them ;x;;;;
ct_122;élodie Jacques;:fire::fire::fire::fire:;x;;;;
ct_123;MonkeyAC;What a band <3;x;;;;
ct_124;Julian Gomez;Rocking that stage without any drummer ;x;;x;;
ct_126;MonkeyAC;:fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire:;x;;;;
ct_129;Duarte Nuno Correia;They rock!;x;;;;
ct_131;king-chang perspective;:high_voltage::high_voltage::high_voltage::high_voltage::high_voltage:;X;;;;
ct_134;king-chang perspective;^_^;x;;;;
ct_136;Rose ;Omg I missed it ;;x;;;
ct_138;Julian Gomez;:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::clinking_beer_mugs:;x;;;;x
ct_139;king-chang perspective;thx ARTE;x;;;;
