concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional,bt_lang
moby_ct_74,I've got chills.,X,,,,,X,de
moby_ct_333,==References====External links==*Official website,X,,,,,X,de
moby_ct_576,:crying_face:,,,,,,X,de
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X,fr
nf_ct_128,But the version of the album does not have the battery :crying_face:,,X,X,,,X,fr
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X,fr
air_ct_524,:face_with_the_principal_of_joy:,X,,,,,X,fr
air_ct_424,:flashlight : :grinning_face_with_sweat :,X,,,,,X,fr
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,fr
moby_ct_332,:loudly_criing_face::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X,fr
moby_ct_662,: Eyes-purple-cris:,X,,,,,X,fr
moby_ct_351,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,fr
moby_ct_346,My temperature rises from music :smiling_cat_with_heart_eyes:,X,,x,,,X,fr
moby_ct_486,have chills,X,,,,,X,fr
moby_ct_261,Let them shed their tears.,X,,,,,X,fr
moby_ct_271,chills and strong sensations,X,,,,,X,fr
air_ct_39,definitely geese from the beginning,X,,,,,X,fr
moby_ct_268,Tears,X,,,,,X,fr
nf_ct_81,Give me your crappy synthdaddy in layers:sweat_droplets::drooling_face:,X,,x,,,X,fr
moby_ct_74,I have chills.,X,,,,,X,fr
moby_ct_333,:loudly_criing_face::loudly_criing_face::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X,fr
moby_ct_576,_face_crying:,,,,,,X,fr
moby_ct_570,:heart_fire: heart_fire: heart_fire:,X,,,,,X,ru
nf_ct_128,But the album version has no drums: screaming face:,,X,X,,,X,ru
moby_ct_582,:heart_fire: heart_fire: heart_fire:,X,,,,,X,ru
air_ct_524,: face_with_tires_of_joy:,X,,,,,X,ru
air_ct_424,Lantern: : : grining_face_with_sweat:,X,,,,,X,ru
air_ct_160,I'm in tears!,X,,,,,X,ru
moby_ct_332,: Sound_screaming face: : short_crying face: short_crying face:,X,,,,,X,ru
moby_ct_662,:: Transparent eyes:,X,,,,,X,ru
moby_ct_351,:Music_note:::mousical_score::speaker_high_tum:: dizzy:,X,,x,,,X,ru
moby_ct_346,My temperature rises from music: smile with my heart's eyes:,X,,x,,,X,ru
moby_ct_486,have cooling,X,,,,,X,ru
moby_ct_261,Let tears flow.,X,,,,,X,ru
moby_ct_271,Chilling and Feelings,X,,,,,X,ru
air_ct_39,Definitely a goose from the beginning.,X,,,,,X,ru
moby_ct_268,Tears,X,,,,,X,ru
nf_ct_81,Give me your layer synthaddy: sweat_droplets:: drowling_face:,X,,x,,,X,ru
moby_ct_74,I'm chilled.,X,,,,,X,ru
moby_ct_333,: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : ) ) : :,X,,,,,X,ru
moby_ct_576,: Cry face:,,,,,,X,ru
moby_ct_570,"Heart on fire: heart on fire: heart on fire: heart on fire: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude face: rude, weeping face: rude face: rude face: rude face: rude face:",X,,,,,X,zh
nf_ct_128,But the album version doesn't have drums:,,X,X,,,X,zh
moby_ct_582,"Heart on fire: heart on fire: heart on fire: heart on fire: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude face: rude, weeping face: rude face: rude face: rude face: rude face:",X,,,,,X,zh
air_ct_524,Happiness: Faces: Faces_years_joy:,X,,,,,X,zh
air_ct_424,: flashing_face_with_sweat:,X,,,,,X,zh
air_ct_160,I'm crying all over my face!,X,,,,,X,zh
moby_ct_332,Face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face,X,,,,,X,zh
moby_ct_662,( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ),X,,,,,X,zh
moby_ct_351,( applause ) ( applause ) ( applause ) ( applause ) ( ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ):,X,,x,,,X,zh
moby_ct_346,My temperature rises from music: smiles:,X,,x,,,X,zh
moby_ct_486,It's cold. It's cold.,X,,,,,X,zh
moby_ct_261,"All right, let them cry.",X,,,,,X,zh
moby_ct_271,Cold and excited.,X,,,,,X,zh
air_ct_39,"From the beginning, it's definitely a dick.",X,,,,,X,zh
moby_ct_268,Tears.,X,,,,,X,zh
nf_ct_81,Give me your stratification of shit synthes:,X,,x,,,X,zh
moby_ct_74,I'm cold.,X,,,,,X,zh
moby_ct_333,Face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face,X,,,,,X,zh
moby_ct_576,: cryy_face:,,,,,,X,zh
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,it
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X,it
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,it
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,it
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,it
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,it
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,it
moby_ct_662,:eyes-purple-grey:,X,,,,,X,it
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,it
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X,it
moby_ct_486,have chills,X,,,,,X,it
moby_ct_261,"All right, let the tears flow.",X,,,,,X,it
moby_ct_271,chills and emotions,X,,,,,X,it
air_ct_39,definitely goose from the beginning,X,,,,,X,it
moby_ct_268,Tears,X,,,,,X,it
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X,it
moby_ct_74,I'm creepy.,X,,,,,X,it
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,it
moby_ct_576,:Crying_face:,,,,,,X,it
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,es
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X,es
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,es
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,es
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,es
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,es
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,es
moby_ct_662,:eyes-purple-grey:,X,,,,,X,es
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,es
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X,es
moby_ct_486,have chills,X,,,,,X,es
moby_ct_261,"All right, let the tears flow.",X,,,,,X,es
moby_ct_271,chills and emotions,X,,,,,X,es
air_ct_39,definitely goose from the beginning,X,,,,,X,es
moby_ct_268,Tears,X,,,,,X,es
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X,es
moby_ct_74,I'm creepy.,X,,,,,X,es
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,es
moby_ct_576,:Crying_face:,,,,,,X,es
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ja
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X,ja
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ja
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,ja
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,ja
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,ja
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ja
moby_ct_662,:eyes-purple-grey:,X,,,,,X,ja
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,ja
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X,ja
moby_ct_486,have chills,X,,,,,X,ja
moby_ct_261,"All right, let the tears flow.",X,,,,,X,ja
moby_ct_271,chills and emotions,X,,,,,X,ja
air_ct_39,definitely goose from the beginning,X,,,,,X,ja
moby_ct_268,Tears,X,,,,,X,ja
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X,ja
moby_ct_74,I'm creepy.,X,,,,,X,ja
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ja
moby_ct_576,:Crying_face:,,,,,,X,ja
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ar
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X,ar
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ar
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,ar
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,ar
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,ar
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ar
moby_ct_662,:eyes-purple-grey:,X,,,,,X,ar
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,ar
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X,ar
moby_ct_486,have chills,X,,,,,X,ar
moby_ct_261,"All right, let the tears flow.",X,,,,,X,ar
moby_ct_271,chills and emotions,X,,,,,X,ar
air_ct_39,definitely goose from the beginning,X,,,,,X,ar
moby_ct_268,Tears,X,,,,,X,ar
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X,ar
moby_ct_74,I'm creepy.,X,,,,,X,ar
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,ar
moby_ct_576,:Crying_face:,,,,,,X,ar
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,pt
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X,pt
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,pt
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,pt
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,pt
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,pt
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,pt
moby_ct_662,:eyes-purple-grey:,X,,,,,X,pt
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,pt
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X,pt
moby_ct_486,have chills,X,,,,,X,pt
moby_ct_261,"All right, let the tears flow.",X,,,,,X,pt
moby_ct_271,chills and emotions,X,,,,,X,pt
air_ct_39,definitely goose from the beginning,X,,,,,X,pt
moby_ct_268,Tears,X,,,,,X,pt
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X,pt
moby_ct_74,I'm creepy.,X,,,,,X,pt
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,pt
moby_ct_576,:Crying_face:,,,,,,X,pt
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,nl
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X,nl
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,nl
air_ct_524,:face_with_tears_of_joy:,X,,,,,X,nl
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X,nl
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X,nl
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,nl
moby_ct_662,:eyes-purple-grey:,X,,,,,X,nl
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X,nl
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X,nl
moby_ct_486,have chills,X,,,,,X,nl
moby_ct_261,"All right, let the tears flow.",X,,,,,X,nl
moby_ct_271,chills and emotions,X,,,,,X,nl
air_ct_39,definitely goose from the beginning,X,,,,,X,nl
moby_ct_268,Tears,X,,,,,X,nl
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X,nl
moby_ct_74,I'm creepy.,X,,,,,X,nl
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X,nl
moby_ct_576,:Crying_face:,,,,,,X,nl
