comment_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react
ct_172;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:;x;;;;x
ct_174;Daniela Arellano;:face-blue-smiling::hand-pink-waving::hand-pink-waving:;x;;;;x
ct_177;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:hand-pink-waving::face-fuchsia-tongue-out::hand-pink-waving:;x;;;;x
ct_179;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:white_heart::white_heart::white_heart::white_heart::white_heart:;x;;;;
ct_181;Daniela Arellano;It is okay, the new singer ;x;x;;;
ct_185;༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻;everybody dance now;x;;;;
ct_189;Daniela Arellano;yes, I miss Flore's voice. But, good concert!!;x;x;;x;
ct_192;Igor;Hi guys. Glad to see you all. for everyone who is in the chat, Russian kvass and pancakes with Red caviar;x;;;x;
ct_194;Thibaud;@TheGeigs1 She sings songs that weren't written for her, that's normal. We have to give her time to make her mark.;x;x;;x;
ct_195;Fanny Reyes;I miss Flore's voice :frowning_face:;;x;;x;x
ct_197;༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻;yes!) :person_cartwheeling::person_running::person_cartwheeling::person_running::person_cartwheeling::person_running::person_cartwheeling:;x;;;;x
ct_198;TheGeigs1;exactly @thibaud;;;;;
ct_200;Audrey Temporal;Oh dommage :pleading_face::loudly_crying_face: merci ;;;;;x
ct_205;Володимир Наумчук;I-Gore :potato:, hi ! :lady_beetle::eyes:;;;;;
ct_206;Steph;🕺🏻🕺🏻🕺🏻🕺🏻💃🏻💃🏻💃🏻💃🏻;x;;;;x
ct_207;ARPAPRO magazine;:smiling_face_with_sunglasses:;x;;;;
ct_210;Yunna Jolie;Me gustaria mucho verlos en vivo.:face-red-heart-shape:;;;;;
ct_212;Igor;Vo:thumbs_up:van, hi, zhuchara :lady_beetle:;;;;;x
ct_214;TheGeigs1;that crowd is movin!!;x;;;x;
ct_216;Igor;Mylene Farmer forever:sign_of_the_horns::sign_of_the_horns:;x;;;x;
ct_217;MIGUEL A. S. O.;🕺🏿🕺🏿🕺🏿🕺🏿:fire::alien_monster::party_popper:;x;;;;x
ct_218;༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻;:hand-purple-blue-peace::face-red-smiling-live::finger-red-number-one:;x;;;;x
ct_220;*DST*;they need to cover christian bruhn, Captain future;;;;x;
ct_221;Igor;Igorrr the best:thumbs_up::hundred_points: :sign_of_the_horns::sign_of_the_horns:;x;;;;x
ct_223;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;aaaaaaaaaa :face-fuchsia-tongue-out::face-fuchsia-tongue-out:;x;;;;x
ct_224;Melody lane;Flore was batter sad;;x;;x;
ct_227;Mateusz K. Sawczyn;That was FIRE;x;;;;
ct_228;TheGoldenNeedle;:spouting_whale::spouting_whale::spouting_whale::sweat_droplets::sweat_droplets::sweat_droplets:;;;;;
ct_229;TheGoldenNeedle;:spouting_whale::spouting_whale::spouting_whale::sweat_droplets::sweat_droplets::sweat_droplets:;;;;;
ct_230;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::face-fuchsia-tongue-out::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:;x;;;;x
ct_232;TheGeigs1;have a good night everyone;;;;x;
ct_233;David Cozzi;Great concert. Saw them in Chicago last January. They added some songs. Good mix. Thank you. :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:;x;;;x;
ct_235;Pan Galactic Gargle Blaster;:hand-pink-waving::hand-pink-waving::hand-pink-waving:;x;;;;x
ct_237;Cece Boysen;tnx, this night saved:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:;x;;;;
ct_238;Roko Vukojević;wtfff how good are they;x;;;;
