concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
moby_ct_195,It's the most boring thing I've ever heard.,,X,x,,,
moby_ct_171,That's right.,,X,,,,
air_ct_505,Scary,,X,,,,
moby_ct_458,nah whats this version xd,,X,x,,,
moby_ct_20,"@ARTE Concert Yes, I've seen a lot of shows that were great! This one isn't sadly.",,X,,X,,
nf_ct_150,"I can't say what's first or second, it's not linear for me.It's at least omnidimensional. fcs up time, you can live eternity with every nanosecond, from every direction, running from any pattern.",,X,,,,
air_ct_151,I remember life before everyone had a Camara.,,X,x,,,
moby_ct_264,I was asleep if I was there.,,X,,,,
moby_ct_446,:(,,X,,,,
moby_ct_19,It's absolutely terrible and empty.,,X,x,,,
nf_ct_72,it uses a couple range of lines and gigant subwoofers as monitors wow thats too,,X,x,,,
air_ct_134,THE TRACK IS A REPAIR OF A SCALE OF 4 X 4 SINCE 1775,,X,x,,,
moby_ct_339,"Oh, grown Russell.",,X,,,,
nf_ct_176,@ARTE Concert he said the music was crap... so tell him that,,X,,,,
nf_ct_179,"Alessio needs attention, poor little thing, bless yourself! :folded_hands:",,X,,,X,
air_ct_355,that arturia is too noisy,,X,x,,,
air_ct_81,My fav track by them is unfortunately not on this album :(,,X,x,X,,
nf_ct_187,":stonished_face:., ""shit"" ¿ the boy must get a little more descriptive vocabulary! As for the texture and colors that the ""shit"" can evoke.,:winking_face::winking_face_with_tongue:",,x,,,,
nf_ct_128,But the album version has no drums: screaming face:,,X,X,,,X
moby_ct_195,It's the most boring thing I've ever heard.,,X,x,,,
moby_ct_171,Tf is,,X,,,,
air_ct_505,It's scary.,,X,,,,
moby_ct_458,That this version of xd,,X,x,,,
moby_ct_20,"@ARTEConcert Yes, I've seen a lot of shows that were great!",,X,,X,,
nf_ct_150,"I can't say that the first or the second is not linear for me. It's at least full time. Time rises, you can live in ethnoseconds with every nanosecond, on all sides, running from any pattern.",,X,,,,
air_ct_151,I remember life before everyone had Kamara.,,X,x,,,
moby_ct_264,I'd fall asleep if I were there.,,X,,,,
moby_ct_446,:: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: ::: ::: :: ::: ::: ::: ::: ::: ::: ::: ::::: :::: ::::: :::: :::: :::: :::::::::::: ::: :::::::::::::::: :::::: :::::::::: : : : : : : : : : : : : : : : : : : : : : : : :: : : : : : : : : : : : : : : : ::: : : : : : ::::::: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : :::::::::::::::::::::: : : : : : : : : : : : : : : : : : :::::: : :::::::::::::,,X,,,,
moby_ct_19,Sounds terrible and empty.,,X,x,,,
nf_ct_72,"He uses a couple of linear arrays and giant subwoofers as monitors, it's too much.",,X,x,,,
air_ct_134,OF ALL WORKERS FROM SCALE 4 X 4 Since 1775,,X,x,,,
moby_ct_339,"Oh, raise Russell.",,X,,,,
nf_ct_176,@ARTE Concert he said music is shit... so tell him that.,,X,,,,
nf_ct_179,"Alessio needs attention, poor thing, bless you!",,X,,,X,
air_ct_355,I don't think Arturia's too loud.,,X,x,,,
air_ct_81,"My fan track for them, unfortunately, isn't on this album:",,X,x,X,,
nf_ct_187,: Surprised person:,,x,,,,
nf_ct_128,But the album version doesn't have drums:,,X,X,,,X
moby_ct_195,It's the most boring thing I've ever heard.,,X,x,,,
moby_ct_171,"tf, that's it.",,X,,,,
air_ct_505,Horrible.,,X,,,,
moby_ct_458,"Nah, this version xd",,X,x,,,
moby_ct_20,"@ARTE concerts? Yes, I've seen a lot of great shows!",,X,,X,,
nf_ct_150,"I don't know what's first or second, it's not linear for me, it's at least 10,000 dimensions. fcs up time, you can run from every millisecond, in every direction, from any mode.",,X,,,,
air_ct_151,I remember everyone's life before Camara.,,X,x,,,
moby_ct_264,"If I were there, I'd be asleep.",,X,,,,
moby_ct_446,: () (),,X,,,,
moby_ct_19,It sounds absolutely horrible and empty.,,X,x,,,
nf_ct_72,He's using a couple of line arrays and a couple of good sub-woofers as monitors.,,X,x,,,
air_ct_134,"Since 1775, any tracer has been restored to 4x4 SCOS.",,X,x,,,
moby_ct_339,He grew up in Russell Russell.,,X,,,,
nf_ct_176,"@ARTE concert, he says music is shit... so tell him.",,X,,,,
nf_ct_179,"Alessio needs attention, poor little thing, bless you!",,X,,,X,
air_ct_355,Arturya's too loud.,,X,x,,,
air_ct_81,"Unfortunately, I don't have my favorite track on this album: ( GIGGLES )",,X,x,X,,
nf_ct_187,"Surprising face:.. ""shit"":..boys need a more descriptive term! As for the texture and colours that “shit” may call,............................................................................................................................................................................................................................................",,x,,,,
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X
moby_ct_195,This is the most boring I've ever heard.,,X,x,,,
moby_ct_171,That's it.,,X,,,,
air_ct_505,scary,,X,,,,
moby_ct_458,nah what is this version xd,,X,x,,,
moby_ct_20,"@ARTE Concert Yes, I've seen a lot of shows that were great! This is not sadly.",,X,,X,,
nf_ct_150,"I can't say what is first or second, it's not linear for me. it's at least omni-dimensional. fcs up time, you can live eternalities with every nanosecond, from all directions, running from any model.",,X,,,,
air_ct_151,I remember I liked life before everyone had a Camara.,,X,x,,,
moby_ct_264,I'd fall asleep if I was there.,,X,,,,
moby_ct_446,:(,,X,,,,
moby_ct_19,It looks absolutely terrible and empty.,,X,x,,,
nf_ct_72,is using a couple of line array and subwoofer giants as a wow monitor that's too,,X,x,,,
air_ct_134,Each track is a replica of a 4x4 scale from 1775,,X,x,,,
moby_ct_339,Oh grow Russell,,X,,,,
nf_ct_176,@ARTE Concert said music is shit... so tell her,,X,,,,
nf_ct_179,"Alessio needs attention, poor thing, bless you!",,X,,,X,
air_ct_355,that the arthruria is too strong,,X,x,,,
air_ct_81,My favorite song from them is unfortunately not in this album:(,,X,x,X,,
nf_ct_187,":stonished_face:., ""shit"" ¿ the boy needs to get a slightly more descriptive vocabulary! As for the texture and colors that the ""shit"" can evoke.,:winking_face::winking_face_with_tongue:",,x,,,,
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
nf_ct_128,But the album version doesnt have the drums :crying_face:,,X,X,,,X
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
air_ct_524,:face_with_tears_of_joy:,X,,,,,X
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X
air_ct_160,i'm in tears !! so amazing <3,X,,,,,X
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_662,:eyes-purple-crying:,X,,,,,X
moby_ct_351,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from the music :smiling_cat_with_heart_eyes:,X,,x,,,X
moby_ct_486,have chills,X,,,,,X
moby_ct_261,Alright. Let them tears flow,X,,,,,X
moby_ct_271,chills and thrills,X,,,,,X
air_ct_39,definitely goosebumps from the start,X,,,,,X
moby_ct_268,Tears,X,,,,,X
nf_ct_81,Give me your layered shit synthdaddy :sweat_droplets::drooling_face:,X,,x,,,X
moby_ct_74,I have chills,X,,,,,X
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_576,:crying_face:,,,,,,X
moby_ct_570,==References====External links==*Official website,X,,,,,X
nf_ct_128,But the album version doesn't have the drums :criying_face:,,X,X,,,X
moby_ct_582,==References====External links==*Official website,X,,,,,X
air_ct_524,:face_with_tears_of_joy:,X,,,,,X
air_ct_424,:Flashlight: :grinning_face_with_sweat:,X,,,,,X
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X
moby_ct_332,==References====External links==*Official website,X,,,,,X
moby_ct_662,:Eye-lila-Crying:,X,,,,,X
moby_ct_351,*: Musical notes::Musical notes::Musical results::Spokesman_high volume::Dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from the music :smiling_cat_with_heart_eyes:,X,,x,,,X
moby_ct_486,have chills,X,,,,,X
moby_ct_261,Let the tears flow.,X,,,,,X
moby_ct_271,Chills and thrills,X,,,,,X
air_ct_39,Definitely goose bumps from the beginning,X,,,,,X
moby_ct_268,Tears,X,,,,,X
nf_ct_81,Give me your layered shit synthdaddy :sweat_droplets::drooling_face:,X,,x,,,X
moby_ct_74,I've got chills.,X,,,,,X
moby_ct_333,==References====External links==*Official website,X,,,,,X
moby_ct_576,:crying_face:,,,,,,X
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X
nf_ct_128,But the version of the album does not have the battery :crying_face:,,X,X,,,X
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X
air_ct_524,:face_with_the_principal_of_joy:,X,,,,,X
air_ct_424,:flashlight : :grinning_face_with_sweat :,X,,,,,X
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X
moby_ct_332,:loudly_criing_face::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X
moby_ct_662,: Eyes-purple-cris:,X,,,,,X
moby_ct_351,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from music :smiling_cat_with_heart_eyes:,X,,x,,,X
moby_ct_486,have chills,X,,,,,X
moby_ct_261,Let them shed their tears.,X,,,,,X
moby_ct_271,chills and strong sensations,X,,,,,X
air_ct_39,definitely geese from the beginning,X,,,,,X
moby_ct_268,Tears,X,,,,,X
nf_ct_81,Give me your crappy synthdaddy in layers:sweat_droplets::drooling_face:,X,,x,,,X
moby_ct_74,I have chills.,X,,,,,X
moby_ct_333,:loudly_criing_face::loudly_criing_face::loudly_criing_face::loudly_criing_face::loudly_criing_face:,X,,,,,X
moby_ct_576,_face_crying:,,,,,,X
moby_ct_570,:heart_fire: heart_fire: heart_fire:,X,,,,,X
nf_ct_128,But the album version has no drums: screaming face:,,X,X,,,X
moby_ct_582,:heart_fire: heart_fire: heart_fire:,X,,,,,X
air_ct_524,: face_with_tires_of_joy:,X,,,,,X
air_ct_424,Lantern: : : grining_face_with_sweat:,X,,,,,X
air_ct_160,I'm in tears!,X,,,,,X
moby_ct_332,: Sound_screaming face: : short_crying face: short_crying face:,X,,,,,X
moby_ct_662,:: Transparent eyes:,X,,,,,X
moby_ct_351,:Music_note:::mousical_score::speaker_high_tum:: dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from music: smile with my heart's eyes:,X,,x,,,X
moby_ct_486,have cooling,X,,,,,X
moby_ct_261,Let tears flow.,X,,,,,X
moby_ct_271,Chilling and Feelings,X,,,,,X
air_ct_39,Definitely a goose from the beginning.,X,,,,,X
moby_ct_268,Tears,X,,,,,X
nf_ct_81,Give me your layer synthaddy: sweat_droplets:: drowling_face:,X,,x,,,X
moby_ct_74,I'm chilled.,X,,,,,X
moby_ct_333,: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : ) ) : :,X,,,,,X
moby_ct_576,: Cry face:,,,,,,X
moby_ct_570,"Heart on fire: heart on fire: heart on fire: heart on fire: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude face: rude, weeping face: rude face: rude face: rude face: rude face:",X,,,,,X
nf_ct_128,But the album version doesn't have drums:,,X,X,,,X
moby_ct_582,"Heart on fire: heart on fire: heart on fire: heart on fire: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude, weeping face: rude face: rude, weeping face: rude face: rude face: rude face: rude face:",X,,,,,X
air_ct_524,Happiness: Faces: Faces_years_joy:,X,,,,,X
air_ct_424,: flashing_face_with_sweat:,X,,,,,X
air_ct_160,I'm crying all over my face!,X,,,,,X
moby_ct_332,Face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face,X,,,,,X
moby_ct_662,( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ),X,,,,,X
moby_ct_351,( applause ) ( applause ) ( applause ) ( applause ) ( ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ): ( applause ):,X,,x,,,X
moby_ct_346,My temperature rises from music: smiles:,X,,x,,,X
moby_ct_486,It's cold. It's cold.,X,,,,,X
moby_ct_261,"All right, let them cry.",X,,,,,X
moby_ct_271,Cold and excited.,X,,,,,X
air_ct_39,"From the beginning, it's definitely a dick.",X,,,,,X
moby_ct_268,Tears.,X,,,,,X
nf_ct_81,Give me your stratification of shit synthes:,X,,x,,,X
moby_ct_74,I'm cold.,X,,,,,X
moby_ct_333,Face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face: face,X,,,,,X
moby_ct_576,: cryy_face:,,,,,,X
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
nf_ct_128,But the version of the album doesn't have the battery:crying_face:,,X,X,,,X
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
air_ct_524,:face_with_tears_of_joy:,X,,,,,X
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X
air_ct_160,I'm in tears!! so amazing <3,X,,,,,X
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_662,:eyes-purple-grey:,X,,,,,X
moby_ct_351,ooohh:violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from music:smiling_cat_with_heart_eyes:,X,,x,,,X
moby_ct_486,have chills,X,,,,,X
moby_ct_261,"All right, let the tears flow.",X,,,,,X
moby_ct_271,chills and emotions,X,,,,,X
air_ct_39,definitely goose from the beginning,X,,,,,X
moby_ct_268,Tears,X,,,,,X
nf_ct_81,Give me your layered shit synthdaddy:sweat_droplets::drooling_face:,X,,x,,,X
moby_ct_74,I'm creepy.,X,,,,,X
moby_ct_333,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_576,:Crying_face:,,,,,,X
moby_ct_433,"such a delight to watch. I've known Moby for decades, first time watching him perform... such a delight. thanks Arte for this",X,,,,,
air_ct_538,They are amazing!!!,X,,,,,
air_ct_417,@ARTE Concert thx again for sharing :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
air_ct_423,You guys and gals in the comments are great give yourselves a round of applause. Thanks for making this even more fun,X,,,,,
nf_ct_95,"this is just wonderful. danke, thx and merci nils and arte.",X,,,,,
air_ct_427,This is amazing!!!! :weary_cat::smiling_cat_with_heart_eyes:,X,,,,,
moby_ct_320,Also the sound of the drums. Perfect Mix!,X,,X,,,
moby_ct_347,Crazy how many songs I know from Moby without even being an hardcore fan haha,X,,X,,,
air_ct_516,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
moby_ct_466,:musical_notes::musical_note::sparkles::sparkles:,X,,,,,
moby_ct_237,Plz play praise you :thumbs_up::thumbs_up::thumbs_up:,X,,X,,X,
moby_ct_472,:smiling_face_with_sunglasses::partying_face::purple_heart::purple_heart::purple_heart:,X,,,,,
moby_ct_570,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_633,"moby did a lot of drugs when he wrote his songs he once told. actually most music artists did, but moby seems to have gotten the right dose of the right stuff :rocket-red-countdown-liftoff:",X,,,X,,
air_ct_398,:nail_polish:,X,,,,,
moby_ct_612,:bomb::bomb::bomb::bomb:,X,,,,,
air_ct_243,"grab her hand and say hi,,, dance with her, hug her, love her and no matter never nver forget HER",X,,X,,,
air_ct_88,sexy boy is fantastic,X,,X,,,
nf_ct_50,Nice vintage gear & sound,X,,X,,,
moby_ct_474,🙏🏼,X,,,,X,
moby_ct_390,"what a voice, full of charisma!",X,,X,,,
air_ct_312,sexy cowboy,X,,,,,
air_ct_192,the audio sounds amazing,X,,X,,,
moby_ct_47,omg this was filmed on my birthday :grinning_face: ,X,,,,,
moby_ct_467,tres beau spectacle live thanks Mister Moby,X,,,,,
air_ct_106,:eyes-pink-heart-shape: ahuuuahhh,X,,,,,
moby_ct_94,Stanger Things :red_heart:,X,,,x,,
air_ct_210,:red_heart:,X,,,,,
moby_ct_677,:red_heart:,X,,,,,
moby_ct_471,:slightly_smiling_face:,X,,,,,
air_ct_36,:eyes-pink-heart-shape:,X,,,,,
nf_ct_24,stop the time,X,,,,,
moby_ct_340,"The man is almost 59yo, what a legend!",X,,,,,
nf_ct_3,ohh I did not planed for this. thank u arte!,X,,,,,
air_ct_325,I WE US KAMALA WILL CARRY YOU TO THE FINISH LINE ,X,,x,,,
sting_ct_3,thank you ARTE Concert! :folded_hands::thumbs_up::red_heart:,X,,,,X,
air_ct_555,incredible. ,X,,,,,
moby_ct_548,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
air_ct_226,:hundred_points:,X,,,,,
air_ct_501,"I watched this on streaming the whole weekend after the gig until it was taken down, great to have it for a year!",X,,,X,,
moby_ct_427,:raising_hands::collision::raising_hands::collision::raising_hands:,X,,,,X,
moby_ct_367,:raising_hands::collision::raising_hands::collision::raising_hands: ,X,,,,X,
air_ct_139,:shooting_star::shooting_star::shooting_star::glowing_star:,X,,,,,
moby_ct_167,hey @ARTE Concert Happy tu see Moby :musical_note::musical_notes::speaker_high_volume::musical_note::musical_notes::speaker_high_volume:,X,,,,,
moby_ct_65,He's so no frills! Just a guy! LOVE you Moby for that,X,,,,,
air_ct_494,Electronic Performers,X,,x,,,
moby_ct_572, amazing :water_wave::musical_note::musical_notes::collision:,X,,,,,
moby_ct_509,hello ARTE:person-turqouise-waving:THX:face-red-heart-shape:& moby too,X,,,,,
moby_ct_602,:heart_exclamation::heart_exclamation::heart_exclamation::heart_exclamation:,X,,,,,
air_ct_412,each little detail its such huge sensibility composing ,X,,x,,,
moby_ct_447,Trumpet solo ! :grinning_face_with_sweat:,X,,x,,,
moby_ct_681,:black_heart:,X,,,,,
air_ct_449,👏🏻👏🏻👏🏻👏🏻👏🏻,X,,,,X,
sting_ct_27,:musical_notes::musical_note::thumbs_up::partying_face::headphone:,X,,,,X,
air_ct_537,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
moby_ct_571,:red_heart:,X,,,,,
moby_ct_456,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
air_ct_508,:fire:,X,,,,,
air_ct_370,🙌🏻,X,,,,X,
sting_ct_7,:sparkling_heart:,X,,,,,
air_ct_229,@RetroSound they are timeless and this album even more,X,,x,,,
sting_ct_69,:blue_heart::musical_notes:” and he will be the one she loves..:blue_heart::musical_notes: this song permeates into my soul.. ,X,,,,,
moby_ct_377,:smiling_cat_with_heart_eyes::heart_with_arrow::backhand_index_pointing_left::backhand_index_pointing_right::sign_of_the_horns:,X,,,,X,
moby_ct_460,amazing :red_heart:,x,,,,,
moby_ct_378,"hawt, hawt, hotness in the ears",X,,x,,,
moby_ct_420,Yes! Ring of Fire,X,,x,,,
air_ct_100,All i need right now.... air....,X,,,,,
moby_ct_49,love u all:red_heart:,X,,,,,
moby_ct_431,:fire:,X,,,,,
air_ct_482,"this band, this music, brings me hope in future... we need quality in music!!",X,,x,,,
sting_ct_28,Message In A Bottle .. new version :blue_heart::blue_heart::blue_heart::bouquet: cool,X,,x,,,
moby_ct_23,:star_struck: Merci Arte Concert !! :smiling_face_with_hearts::face_blowing_a_kiss::face_blowing_a_kiss:,X,,,,X,
moby_ct_223,:speaker_high_volume::speaker_high_volume:,X,,,,,
moby_ct_579,thank you Arte concert for giving us this awesome night with Moby,X,,,,,
moby_ct_116,quite a large venue for small Belgium :grinning_face:,X,,,,,
moby_ct_412,Sunshine :smiling_cat_with_heart_eyes:,X,,,,,
air_ct_260,:sparkling_heart::sparkling_heart::sparkling_heart:,X,,,,,
moby_ct_89,Nadia again :red_heart::red_heart::red_heart::fearful_face::loudly_crying_face::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_684,:yellow_heart:,X,,,,,
moby_ct_365,porcelain was already catch it on the plaback! It was great,X,,x,X,,
moby_ct_107,love this song,X,,x,,,
moby_ct_275,Wow amazing version :red_heart: :red_heart: ,X,,,,,
air_ct_254,:musical_keyboard: :musical_keyboard: :musical_keyboard: :sparkles:,X,,,,,
sting_ct_50,Yes!!:blue_heart::blue_heart:Rushing Water!! ,X,,,,,
moby_ct_664,:yellow_heart::fire::fire:🙌🏼:sparkles:,X,,,,X,
air_ct_274,:red_heart:,X,,,,,
moby_ct_106,:purple_heart: ,X,,,,,
moby_ct_96,:blue_heart:,X,,,,,
air_ct_357,the air is vibrating,X,,X,,,
moby_ct_292,i remember the video of this song... one of my favorite but this is so much better,X,,X,X,,
air_ct_233,my fave album performed beautifully live ,X,,X,,,
air_ct_273,This is my absolute fav :red_heart:,X,,X,,,
nf_ct_65,:red_heart: :red_heart: ,X,,,,,
moby_ct_289,Arte :smiling_face_with_hearts: moby :smiling_face_with_hearts: merci :smiling_face_with_heart_eyes:,X,,,,,
air_ct_521,So fragile and epic in one moment,X,,,,,
moby_ct_172,I listen to the 1 hr version of this on repeat...porcelain,X,,x,,,
moby_ct_555,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
air_ct_457,:clinking_glasses:,X,,,,,
air_ct_59,:heart_suit::heart_suit::heart_suit::heart_suit: in love,X,,,,,
moby_ct_162,"That was perfect, crescendo style",X,,x,,,
air_ct_119,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::crying_face::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:,X,,,,,
moby_ct_384,:face-red-heart-shape:,X,,,,,
air_ct_333,👏🏻👏🏻,X,,,,X,
air_ct_176,@Leesmap Man such a brilliant track !,X,,x,,,
moby_ct_450,sunshine 70 :blossom::hugging_face: hi Hun :face_blowing_a_kiss: just in time for a blow :wind_face::trumpet:along :winking_face:,X,,,,X,
air_ct_428,:revolving_hearts::revolving_hearts::revolving_hearts:,X,,,,,
nf_ct_122,keyboard composition of Nils are just . Wow,X,,x,,,
moby_ct_437,what a G,X,,,,,
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_180,that synth girl :eyes-pink-heart-shape:,X,,x,,,
air_ct_280,Love this so much. ,X,,,,,
moby_ct_477,"woohoooooo, one of the greatest, thank you arte !!!!!",X,,,,,
air_ct_220,:blue_heart::white_heart::heart_suit:Everybody's talkin' at meI don't hear a word they're sayin'...lalala,X,,,,,
