comment_id,username,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react
ct_96,djcarlhamm,"@IHAVENOBAND they talked a tiny bit in DC... someone yelled ""free palestine"" from the audience and Kazu simply said ""YES!"" ",,,,x,
ct_97,Il N'y a Pas d'Orchestre / IHAVENOBAND,okidok thanks MonkeyAC c: ,x,,,,
ct_98,Vosscano,Kazu in the tugboat :grinning_face_with_smiling_eyes:,x,,,x,
ct_102,Vosscano,Spoiler alert :grinning_face_with_smiling_eyes:,x,,,,
ct_103,MrArpSolina,@Il N'y a Pas d'Orchestre / IHAVENOBAND Very rare to see a 6-string bass played live. Not a Fender bass VI though.,,,x,,
ct_104,Il N'y a Pas d'Orchestre / IHAVENOBAND,I hope they surprise you JP,,,,,
ct_106,Il N'y a Pas d'Orchestre / IHAVENOBAND,"MRArpSolina, I essentially bought myself one because/thanks to them :pleading_face:",,,,x,
ct_108,shoutproject,"today i am watching live on YT, Monday live in Manchester:). Love Kazu:)",x,,,x,
ct_109,Paul Banks,:fire::fire::fire:,x,,,,
ct_111,MrArpSolina,@Il N'y a Pas d'Orchestre / IHAVENOBAND Great!,x,,,,
ct_113,antoniosassosasso,:red_heart::red_heart::fire::fire:,x,,,,
ct_114,Sébastien Marseillan ,:red_heart: KAZU :red_heart: ,x,,,,
ct_115,Il N'y a Pas d'Orchestre / IHAVENOBAND,"hope Colette is fine, chilling somewhere around..",,,x,,
ct_116,alan,they are incredible,x,,,,
ct_119,May Jac,:heart_hands:,x,,,,x
ct_120,Pao,@May Jac nice seeing you here!!,x,,,,
ct_122,Vosscano,:clapping_hands::clapping_hands::clapping_hands:,x,,,,x
ct_123,Alexander Laurence | The Portable Infinite,people,,,,,
ct_124,djcarlhamm,the multi cam video is just beautiful ,x,,,x,
ct_125,Sébastien Marseillan ,":red_heart: Love or prison :red_heart: ""!!!!!!""",x,,,,
ct_126,Il N'y a Pas d'Orchestre / IHAVENOBAND,those chords :red_heart: :red_heart: :red_heart: :red_heart: ,x,,x,,
ct_129,Vosscano,"Sit Down for Dinner, Part 1",,,x,,
ct_130,Il N'y a Pas d'Orchestre / IHAVENOBAND,"well, arpeggion technically, but still..",,,x,,
ct_131,Gennevois Margaux,:face-orange-frowning:,,x,,,x
ct_133,Il N'y a Pas d'Orchestre / IHAVENOBAND,JP.. are you just name dropping the whole playlist..?,,x,,,
ct_137,MonkeyAC,@Il N'y a Pas d'Orchestre / IHAVENOBAND he knows it always same on on this tour hehe,,,,x,
ct_138,Il N'y a Pas d'Orchestre / IHAVENOBAND,I don't care but it's not too cool for those who care :/,,x,,,
ct_139,djcarlhamm, :crying_cat::eyes-purple-crying::face-purple-crying:,,x,,,
ct_140,Vosscano,"Sit Down for Dinner, Part 2",,,x,,
ct_141,MonkeyAC,thanks @Vosscano for real songs :winking_face: ,x,,,,x
ct_142,Vosscano,:sparkling_heart::thumbs_up:,x,,,,x
ct_144,Vosscano,Sounds so good thru my subwoofer! :sparkling_heart:,x,,x,,
ct_146,shoutproject,:smiling_face_with_heart_eyes:Kazu Makino:smiling_face_with_hearts:,x,,,,
ct_147,Sébastien Marseillan ,:red_heart: ARTE :red_heart: ,x,,,,
ct_148,Vosscano,:clapping_hands::clapping_hands::clapping_hands:,x,,,,x
ct_149,Bernie Noel,:face-purple-crying:,,x,,,
ct_150,Gabriel Liberato,anyone else watching this while working? :D,x,,,,
ct_151,Vosscano,Spring and by Summer Fall,,,x,,
ct_152,MonkeyAC,ohhh yesssss one my fav ,x,,,,
ct_153,djcarlhamm,@Gabriel Liberato me!! and my coworkers are all hearing it!! :speaker_high_volume:,x,,,,
ct_154,Vosscano,:sparkling_heart:,x,,,,
ct_155,Il N'y a Pas d'Orchestre / IHAVENOBAND,"luckily not me gabriel, good luck with work :x ",x,,,,
ct_156,MonkeyAC,let's go :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: ,x,,,,
ct_157,Vosscano,I love the clever title,x,,,,
ct_160,MonkeyAC,:red_heart: :red_heart: :red_heart: :red_heart: :red_heart: ,x,,,,
ct_163,Sébastien Marseillan ,":red_heart: Aurore :red_heart: ""!!!!!!""",x,,,,
ct_164,Le castor à plumes,jvmt :heart_suit::smiling_face_with_hearts::smiling_face_with_heart_eyes::face_blowing_a_kiss::smiling_cat_with_heart_eyes::smiling_face_with_heart_eyes::red_heart::star_struck::kiss:,x,,,,
ct_165,MonkeyAC,:red_heart: :red_heart: :red_heart: ,x,,,,
ct_168,Vosscano,Beautiful outdoor twilight ,x,,,,
ct_169,shoutproject,Miss old BRH sonic vibes. Kazu with that Gibson and mini skirt omg:),x,,x,x,
ct_170,MonkeyAC,yessss :red_heart: :red_heart: :red_heart: ,x,,,,
ct_173,Il N'y a Pas d'Orchestre / IHAVENOBAND,the miniskirt comment :nauseated_face::nauseated_face::nauseated_face::nauseated_face:,,x,,x,x
ct_177,Le castor à plumes,sympa :musical_notes::musical_note::musical_score::guitar::sign_of_the_horns:,x,,x,,
ct_183,djcarlhamm,Ah ouais! ,,,,,
ct_187,Alexander Laurence | The Portable Infinite,"Please play ""In Particular""",,,x,,
ct_190,Il N'y a Pas d'Orchestre / IHAVENOBAND,en parlant de batterie le groove de Simone :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: ,,,,,
ct_192,Vosscano,Blonde Redhead > Sonic Youth :beaming_face_with_smiling_eyes:,x,,x,x,
ct_199,Vosscano,Approaching 1 hour :clapping_hands:,x,,,,
ct_201,djcarlhamm,:guitar: :heart_on_fire:,x,,x,,
ct_203,Vosscano,:clapping_hands::sparkling_heart::clapping_hands:,x,,,,x
ct_204,Gizem,i want to be there,x,x,,,
ct_206,Vosscano,"Louder, people!!! Wtf",x,,,,
ct_207,Alexander Laurence | The Portable Infinite,23,,,x,,
ct_220,Vosscano,23,,,x,,
ct_221,deathx36,time to rewind,,,,,
ct_222,Il N'y a Pas d'Orchestre / IHAVENOBAND,"@Gizem I feel likeyou missed it, they played it already :/",,x,,,
ct_225,Gizem,isnt it live?,,,,,
ct_227,MonkeyAC,23 :red_heart: an other favorite of mine,x,,x,,
ct_228,deathx36,did anyone else discover them because of the Hard Candy movie,,,,x,
ct_229,Sébastien Marseillan ,"Love or prison :red_heart: ""!!!!!!!!""",x,,x,,
ct_232,Marion Esculier,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,x,,,,
ct_233,MonkeyAC,:drum: :red_heart: :red_heart: :red_heart: :red_heart: tututututulu ,x,,x,,
ct_234,Gizem,YEYY:face_holding_back_tears:i wish i could be there,x,x,,,x
ct_235,deathx36,love Kazu:two_hearts:,x,,,,
ct_237,Il N'y a Pas d'Orchestre / IHAVENOBAND,"@deathx36 I think a little before.. some school educative guy played it in the ""community room"", I think I first heard I still get rocks off c: ",x,,x,x,
ct_238,MonkeyAC, :red_heart: :red_heart: :red_heart:,x,,,,
ct_241,deathx36,I finally saw them in New York and Atlanta after listening and waiting for them 20yrs,,,,x,
ct_243,deathx36,last year,,,,,
ct_244,Andre Assis,maravilhosos :two_hearts::two_hearts::two_hearts:,x,,,,
ct_248,Le castor à plumes,il n'y a pas d'orchestre merci ah OK,,,,,
ct_250,MonkeyAC, :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart:,x,,,,
ct_253,Vosscano,:partying_face::partying_face::partying_face:,x,,,,x
ct_254,Gizem,i love their performance in this song specially!!,x,,,,
ct_255,Vosscano,That drumbeat :sparkling_heart:,x,,x,,
ct_257,deathx36,my fave is SW,,,x,,
ct_259,MonkeyAC, :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart:,x,,,,
ct_260,deathx36,Mine to be Had too,,,x,,
ct_261,Il N'y a Pas d'Orchestre / IHAVENOBAND,@deathx36 they also played it earlier :frowning_face: ,,x,,,x
ct_264,Sébastien Marseillan ,"Le Castor a Plumes :red_heart: :red_heart: :red_heart: :red_heart: ""!!!!!""",,,,,
ct_268,deathx36,I'm currently at Dr Strangelove part of the show,,,x,,
ct_270,deathx36,and here in phone,,,,,
ct_275,Gabriel Liberato,they have to play Swing Pool,,,x,,
ct_276,Vosscano,Let a boy dream on :winking_face:,x,,x,,x
ct_277,Coreylala,"I saw them last week in Stockholm, they were so good!",x,,,x,
ct_278,Il N'y a Pas d'Orchestre / IHAVENOBAND,I wish they still played black guitar :pensive_face: but that boat has sailed,,x,x,,
ct_279,jlzenetno,:black_heart::black_heart::black_heart::black_heart:,x,,,,
ct_280,deathx36,I wanna hear Pink Love live one day.,,,x,,
ct_281,Gabriel Liberato,^,,,,,
ct_282,Carlos so,🇲🇽 woooooow!!! greetings from México City!!!!!,x,,,x,
ct_283,Gizem,i love the beat in thiswsong,x,,x,,
ct_284,Gizem,and the piano,x,,x,,
ct_285,deathx36,I honestly don't know how much longer this band has left hah,,x,,,
ct_286,jlzenetno,🇲🇽🇲🇽🇲🇽,,,,x,
ct_288,deathx36,in terms of future,,x,,,
ct_290,Il N'y a Pas d'Orchestre / IHAVENOBAND,"you never know, creativity works in strange ways.. but they might be getting tired.. idk",,x,,,
ct_291,Gizem,i hope they keep doing this forever:sneezing_face:,x,x,,,x
ct_293,Vosscano,:bouquet::sparkling_heart:,x,,,,
ct_294,deathx36,I wonder why the don't play any Barragan?,,,x,,
ct_295,Gabriel Liberato,i would be so cool to watch BR + Unwound someday,x,,,x,
ct_296,Gizem,i feel like snowman is the next song,,,x,,
ct_297,Vosscano,Maybe bad memories tied to that album?,,,,x,
ct_298,Sébastien Marseillan ,:red_heart: :globe_showing_europe_africa::globe_showing_americas::globe_showing_asia_australia: :red_heart: ,x,,,x,
ct_299,Fabrizio Alias,:red_heart:,x,,,,
ct_300,Il N'y a Pas d'Orchestre / IHAVENOBAND,how long is usually one of their current sets?,,,,,
ct_301,deathx36,yea I remember hearing stuff,,,,,
ct_302,shoutproject,Yeah me too Gabriel Unwound+BRH+Fugazi;),x,,,,
ct_305,Vosscano,:cloud_with_rain:,,x,,,
ct_306,deathx36,Atlanta this year went a little longer than last year NYC,,,,x,
ct_308,Gizem,honestly when the album came out i thought i wouldnt like it like the other albums but it is even BETTER. they always do their best:loudly_crying_face:,x,,,,x
ct_309,deathx36,I got both setlists too!,,,,,
ct_310,Gabriel Liberato,"thank you for the company, everyone!!!",x,,,,
ct_311,Gizem,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:no dont go,,x,,,x
ct_312,Vosscano,:clapping_hands::sparkling_heart::clapping_hands::sparkling_heart::clapping_hands::sparkling_heart::clapping_hands:,x,,,,x
ct_313,Il N'y a Pas d'Orchestre / IHAVENOBAND,"if any of you is curious/want a little more, I have a few covers of theirs on my channel, it's not as good but it exists ^^' 👉🏻👈🏻",,,,,x
ct_316,deathx36,fest sets are generally short 1hr sets,,,,x,
ct_319,Gabriel Liberato,one:clapping_hands: more:clapping_hands: song :clapping_hands:,x,,,,x
ct_322,Vosscano,:heart_hands:,x,,,,x
ct_324,Il N'y a Pas d'Orchestre / IHAVENOBAND,oh it's over over.. :c,,x,,,
ct_326,Nic Garcia,What a lovely set! :two_hearts: ,x,,x,,
ct_327,Il N'y a Pas d'Orchestre / IHAVENOBAND,"well, that was good",x,,,,
ct_329,Gizem,thanks for sharing with us!,x,,,,
ct_330,MrArpSolina,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,x,,,,x
ct_331,Vosscano,Bye fraaans :waving_hand::confused_face:,x,,,,x
ct_332,Paul Banks,Thank you,x,,,,
ct_333,Il N'y a Pas d'Orchestre / IHAVENOBAND,bobye :person_raising_hand: ,x,,,,x
ct_1,gonzalonrok,:hand-pink-waving:,x,,,,x
ct_2,Adiel Flores Chora,:face-red-heart-shape:,x,,,,
ct_5,Albane Stalars,:pink_heart::pink_heart::pink_heart:,x,,,,
ct_6,Alan O.,Readyy🙌🏻:red_heart:,x,,,,x
ct_9,Pierrette Kaiser,:heart_suit::heart_suit::heart_suit::heart_suit:merci bcp ,x,,,,
ct_10,Lorena M,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,x,,,,
ct_13,Pierrette Kaiser,Moi!!!!!! :heart_suit::heart_suit::heart_suit::heart_suit:,x,,,,
ct_16,Patrik Hostasek,:face-blue-covering-eyes::face-blue-covering-eyes::face-blue-covering-eyes:,,x,,,x
ct_20,2T,"Missing Flore, but need to give the new one a chance :winking_face: ",x,x,,x,x
ct_23,Aaron Gibson,"Not gonna lie, missing Flore",,x,,x,
ct_29,Sporty Otter Pop (René Lilly),"^^ Arte Concerts, The best place for music eclectics",x,,,,
ct_32,Sporty Otter Pop (René Lilly),OH I got a crown tonight! :grinning_face: Imagine!,x,,x,,
ct_34,Sporty Otter Pop (René Lilly),LED Outfits-hyper cool,x,,,,
ct_36,TheGeigs1,Kinda weird they still some of flores vocal tracks,,x,x,x,
ct_39,myh3@rtb3@tz4u,They sound so good,x,,,,
ct_42,Sporty Otter Pop (René Lilly),Wow! Huge audience there in Bilbao,x,,,x,
ct_43,Cece Boysen,<3,x,,,,
ct_44,German Farfan,What a good quality of transmission. Thank you! ,x,,,,
ct_49,Sporty Otter Pop (René Lilly),Their hearts are LED :grinning_face:,x,,,,
ct_51,Luffy,what did they do ?,,,,,
ct_54,Clem Lorena,Flore :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:,x,,,,
ct_63,TheGeigs1,The remix vacances is soooo good,x,,x,,
ct_69,TheGeigs1,This breakdown is also one of my favorites ,x,,x,,
ct_72,chris koehn,Rocking show!,x,,,,
ct_76,chris koehn,"Brilliant production and audio engineering! Very tight band, too. ",x,,x,,
ct_77,Mathieu Le Bohec,@ 2016,,,,,
ct_82,PAA511,Moderate Earth wind and fire cover ,,x,x,,
ct_83,Mathieu Le Bohec,10%,,x,,,
ct_84,Clem Lorena,50%,,x,,,
ct_87,TheGeigs1,Their stuff is just so groovy,x,,,,
ct_88,PAA511,At least give us some top class brass section ,,x,x,,
ct_91,PAA511,synthi brass sucks ,,x,x,,
ct_93,TheGeigs1,that would be sick @paa511,x,,,,
ct_94,Steph,"Yep @TheGeigs1 i'm disvoreing now, feeling the same!",x,,,,
ct_96,PAA511,yeah it would be ,,,,,
ct_102,TheGeigs1,"@steph you gotta check out their performance at palais bulles, also their live version of Vacances is insane",x,,,x,
ct_103,Therdsak5U2418,:stayhome::face-turquoise-music-note::person-pink-swaying-hair::shelterin::finger-red-number-one::thanksdoc:,x,,,,x
ct_106,Facundo Acevedo,-o,,,,,
ct_107,Facundo Acevedo,0-],,,,,
ct_108,Facundo Acevedo,[0,,,,,
ct_109,Steph,Thanks @TheGeigs1 i'll check it out!,,,,,
ct_111,Steve Bukowsky,"The stage look and sound is so 80's, but the outfits are some kind of sci-fi:face-green-smiling:",x,,,,
ct_114,Mateusz K. Sawczyn,Hey. What's this song called?,,,,,
ct_115,TheGeigs1,"of course @steph! i should be specific, the performance of vacances im referencing is at dour ",,,,x,
ct_118,Mateusz K. Sawczyn,Thanks!,,,,,
ct_125,Steph,@TheGeigs1 thanks! Will they play that Vacance song tonight? ,x,,x,,
ct_131,Sig Sig,:thumbs_up:,x,,,,x
ct_132,Steph,"@TheGeigs1 i'll pay attention, you'll let me know if I missi it!",,,,,
ct_135,Aaron Gibson,Oliver - Big City :winking_face: ,x,,,x,x
ct_147,Mathieu Le Bohec,"@ARTE Concert Hum, trop bien !",,,,,
ct_150,Cece Boysen,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,x,,,,
ct_152,Roms “RMS” BPJ,bonbsoir,,,,,
ct_157,ARPAPRO magazine,:glowing_star:,x,,,,
ct_161,Steph,"@Daniela Arellano I don't think so, or at least i hope not!",,x,,,
ct_165,popi 0,:bookmark_tabs::two_hearts::incoming_envelope::label::label:,x,,,,
ct_168,💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,x,,,,x
ct_172,💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,x,,,,x
ct_174,Daniela Arellano,:face-blue-smiling::hand-pink-waving::hand-pink-waving:,x,,,,x
ct_177,💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜,:hand-pink-waving::face-fuchsia-tongue-out::hand-pink-waving:,x,,,,x
ct_179,💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜,:white_heart::white_heart::white_heart::white_heart::white_heart:,x,,,,
ct_181,Daniela Arellano,"It is okay, the new singer ",x,x,,,
ct_185,༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻,everybody dance now,x,,,,
ct_189,Daniela Arellano,"yes, I miss Flore's voice. But, good concert!!",x,x,,x,
ct_192,Igor,"Hi guys. Glad to see you all. for everyone who is in the chat, Russian kvass and pancakes with Red caviar",x,,,x,
ct_194,Thibaud,"@TheGeigs1 She sings songs that weren't written for her, that's normal. We have to give her time to make her mark.",x,x,,x,
ct_195,Fanny Reyes,I miss Flore's voice :frowning_face:,,x,,x,x
ct_197,༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻,yes!) :person_cartwheeling::person_running::person_cartwheeling::person_running::person_cartwheeling::person_running::person_cartwheeling:,x,,,,x
ct_198,TheGeigs1,exactly @thibaud,,,,,
ct_200,Audrey Temporal,Oh dommage :pleading_face::loudly_crying_face: merci ,,,,,x
ct_205,Володимир Наумчук,"I-Gore :potato:, hi ! :lady_beetle::eyes:",,,,,
ct_206,Steph,🕺🏻🕺🏻🕺🏻🕺🏻💃🏻💃🏻💃🏻💃🏻,x,,,,x
ct_207,ARPAPRO magazine,:smiling_face_with_sunglasses:,x,,,,
ct_210,Yunna Jolie,Me gustaria mucho verlos en vivo.:face-red-heart-shape:,,,,,
ct_212,Igor,"Vo:thumbs_up:van, hi, zhuchara :lady_beetle:",,,,,x
ct_214,TheGeigs1,that crowd is movin!!,x,,,x,
ct_216,Igor,Mylene Farmer forever:sign_of_the_horns::sign_of_the_horns:,x,,,x,
ct_217,MIGUEL A. S. O.,🕺🏿🕺🏿🕺🏿🕺🏿:fire::alien_monster::party_popper:,x,,,,x
ct_218,༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻,:hand-purple-blue-peace::face-red-smiling-live::finger-red-number-one:,x,,,,x
ct_220,*DST*,"they need to cover christian bruhn, Captain future",,,,x,
ct_221,Igor,Igorrr the best:thumbs_up::hundred_points: :sign_of_the_horns::sign_of_the_horns:,x,,,,x
ct_223,💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜,aaaaaaaaaa :face-fuchsia-tongue-out::face-fuchsia-tongue-out:,x,,,,x
ct_224,Melody lane,Flore was batter sad,,x,,x,
ct_227,Mateusz K. Sawczyn,That was FIRE,x,,,,
ct_228,TheGoldenNeedle,:spouting_whale::spouting_whale::spouting_whale::sweat_droplets::sweat_droplets::sweat_droplets:,,,,,
ct_229,TheGoldenNeedle,:spouting_whale::spouting_whale::spouting_whale::sweat_droplets::sweat_droplets::sweat_droplets:,,,,,
ct_230,💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::face-fuchsia-tongue-out::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:,x,,,,x
ct_232,TheGeigs1,have a good night everyone,,,,x,
ct_233,David Cozzi,Great concert. Saw them in Chicago last January. They added some songs. Good mix. Thank you. :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,x,,,x,
ct_235,Pan Galactic Gargle Blaster,:hand-pink-waving::hand-pink-waving::hand-pink-waving:,x,,,,x
ct_237,Cece Boysen,"tnx, this night saved:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:",x,,,,
ct_238,Roko Vukojević,wtfff how good are they,x,,,,
ct_3,Mia Brava,Hiiii from south of Spain,,,,x,
ct_7,Dirk Dehncke,i'm from Germany Hessen,,,,x,
ct_9,Alejandria Rodriguez,🇲🇽,,,,x,
ct_11,Postpunk 1982,My wife loves Jamie. ,,,,x,
ct_12,Carell Cassey,"It's 4:02 pm in Madison, WI right now",,,,x,
ct_13,Mia Brava,Enjoying!! thanks.,x,,,,
ct_14,Carell Cassey,@ARTE Concert afternoon/evening,,,,,
ct_18,H G,22:04 here Lowe U babe ::::::::::>,x,,,,
ct_19,Carell Cassey,@ARTE Concert Thank you. Thanks for these cool live streaming shows!,x,,,x,
ct_21,Сергей Рябов,hello everyone,,,,,
ct_22,THEMIS,"I love them! Saw them yesterday in Cologne front row, best show ever. :black_heart::black_heart::black_heart:",x,,,x,
ct_23,Natalie L,love them,x,,,,
ct_27,élodie Jacques,uiiiiiiiiiii Ura fever . :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,x,,,,
ct_29,Alejandria Rodriguez,:fire::fire::fire::fire::fire::fire:,x,,,,
ct_30,Alex Edye,"hey @ARTE Concert not sure if you can fix this, but the summer breeze stream audio is glitching out right now",,,,x,
ct_31,Justin,I think this broke it,,x,,,
ct_32,Charlie De Goal,:red_heart:,x,,,,
ct_42,3genom “LINKER” inyourcluster,is it really live?,,,,,
ct_49,3genom “LINKER” inyourcluster,impressive! thanks for the opportunity to watch this live !!,x,,,,
ct_51,Swann,they had a drummer on the tour for the ash and ice tour,,,,x,
ct_52,Duarte Nuno Correia,Many thanks Arte Concert. We are enjoying it!,x,,,,
ct_53,Вячеслав Ткаченко,crypta,,,,,
ct_54,RileyX,oooohhhh nice the kills thx arte,x,,,,
ct_56,Rosie Orozco,Much love to Alison & Jamie . @thetaleofvvandhotel - ,x,,,x,
ct_57,Rosie Orozco,"Hi from Los Angeles, CA ",,,,x,
ct_62,RileyX,saw them the first time back in 2008 I believe,,,,x,
ct_63,king-chang perspective,"hi!from JAPAN,any asian here??",,,,x,
ct_64,Chris korn,Greetings from Vienna and thx,,,,x,
ct_66,Alberto zenon Perez perez,waiting for heart of a dog,,,x,,
ct_67,RileyX,ahhh my fav new track,x,,x,,
ct_68,Вячеслав Ткаченко,hello from earth,,,,x,
ct_70,RileyX,I'm rip on the walk of shame,,,,x,
ct_72,king-chang perspective,today i swear to wearing TIGHT pants like vv,,,,x,
ct_74,Collin,free Palestine,,,,x,
ct_75,Gary Banjosandwitch Worthington,ROCK ON,x,,,,
ct_76,Matt Kreiner,:sign_of_the_horns::sign_of_the_horns:,x,,,,
ct_77,Alessandro Milan,Sound quality is incredible. Thanks Arte.,x,,x,,
ct_78,Víctor Hernández,Slowdive Please,,,x,,
ct_79,Julian Gomez,"This is so cool :winking_face_with_tongue:, thx ARTE ",x,,,,x
ct_83,Delphine Delannoy,:red_heart:,x,,,,
ct_86,Julian Gomez,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:,x,,,,
ct_87,Alberto zenon Perez perez,:thanksdoc:,x,,,,
ct_88,camoux57,Hey vraiment cool ce concert merci ARTE :smiling_face_with_heart_eyes:,,,,,
