concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
moby_ct_140,so this is goodbye,,,,,,
air_ct_240,two tracks to go and then what...more songs?,,,X,,,
nf_ct_14,what instrument is he playing? i've never seen that before :0,,,X,,,
air_ct_192,the audio sounds amazing,X,,X,,,
moby_ct_47,omg this was filmed on my birthday :grinning_face: ,X,,,,,
moby_ct_195,this is the most boring ive ever heard,,X,x,,,
moby_ct_467,tres beau spectacle live thanks Mister Moby,X,,,,,
moby_ct_408,:face-orange-biting-nails:,,,,,X,
moby_ct_601,Techno brutal himno ,,,x,,,
air_ct_106,:eyes-pink-heart-shape: ahuuuahhh,X,,,,,
sting_ct_37,I think I will make a tribute to this song soon.,,,x,,,
moby_ct_511,🇲🇽🇲🇽🇲🇽🇲🇽,,,,,,
moby_ct_349,@HNRIK All that played MTV,,,,,,
air_ct_526,:face-fuchsia-wide-eyes:,,,,,,
moby_ct_94,Stanger Things :red_heart:,X,,,x,,
air_ct_510,@ARTE Concert A French/German TV for a French Band,,,,,,
air_ct_32,The concert consists of all 11 Moon Safari songs,,,x,X,,
air_ct_210,:red_heart:,X,,,,,
air_ct_409,how long is this concert ? anyone know,,,,,,
moby_ct_677,:red_heart:,X,,,,,
moby_ct_34,:hand-pink-waving::hand-pink-waving::hand-pink-waving:,,,,,X,
moby_ct_30,1. My Weakness2. In My Heart3.Go,,,,,,
air_ct_45,:face-fuchsia-wide-eyes:,,,,,,
moby_ct_471,:slightly_smiling_face:,X,,,,,
air_ct_36,:eyes-pink-heart-shape:,X,,,,,
air_ct_245,@Doughnut Doney There is a part two with various of their best numbers then 2 number encore,,,,,,
moby_ct_171,tf is this,,X,,,,
air_ct_51,I like the early years of Downtempo ,,,x,X,,
air_ct_476,Pour Arte hip hip hip .... ? ,,,,,,
nf_ct_24,stop the time,X,,,,,
moby_ct_304,"Exactly, Epi! They see a crowd and they gotta act out",,,,,,
moby_ct_340,"The man is almost 59yo, what a legend!",X,,,,,
moby_ct_187,We are,,,,,,
moby_ct_600,Thousand!,,,,,,
nf_ct_3,ohh I did not planed for this. thank u arte!,X,,,,,
air_ct_325,I WE US KAMALA WILL CARRY YOU TO THE FINISH LINE ,X,,x,,,
sting_ct_3,thank you ARTE Concert! :folded_hands::thumbs_up::red_heart:,X,,,,X,
air_ct_555,incredible. ,X,,,,,
moby_ct_548,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
air_ct_226,:hundred_points:,X,,,,,
air_ct_501,"I watched this on streaming the whole weekend after the gig until it was taken down, great to have it for a year!",X,,,X,,
moby_ct_427,:raising_hands::collision::raising_hands::collision::raising_hands:,X,,,,X,
moby_ct_367,:raising_hands::collision::raising_hands::collision::raising_hands: ,X,,,,X,
air_ct_139,:shooting_star::shooting_star::shooting_star::glowing_star:,X,,,,,
air_ct_299,:face_savoring_food:,,,,,,
moby_ct_167,hey @ARTE Concert Happy tu see Moby :musical_note::musical_notes::speaker_high_volume::musical_note::musical_notes::speaker_high_volume:,X,,,,,
nf_ct_79,Talent is the distinction when layering different harmonics between cacophony and musical bliss.,,,x,X,,
air_ct_2,already bought the ticket (but of course it was not the only reason to travel),,,,X,,
moby_ct_65,He's so no frills! Just a guy! LOVE you Moby for that,X,,,,,
nf_ct_73,talk to Brian Eno you nonce,,,,,,
air_ct_494,Electronic Performers,X,,x,,,
moby_ct_572, amazing :water_wave::musical_note::musical_notes::collision:,X,,,,,
moby_ct_385,"Watching on the bus to work from Tasmania, Australia",,,,,,
moby_ct_509,hello ARTE:person-turqouise-waving:THX:face-red-heart-shape:& moby too,X,,,,,
moby_ct_302,:dog2::duck::chicken::rat::rhinoceros::cow2::black_cat:,,,,,,
air_ct_20,Hi from Philadelphia!,,,,,,
air_ct_99,all album is gold,,,x,X,,
moby_ct_602,:heart_exclamation::heart_exclamation::heart_exclamation::heart_exclamation:,X,,,,,
air_ct_412,each little detail its such huge sensibility composing ,X,,x,,,
moby_ct_447,Trumpet solo ! :grinning_face_with_sweat:,X,,x,,,
nf_ct_62,grow up alessio,,,,,,
moby_ct_681,:black_heart:,X,,,,,
air_ct_449,👏🏻👏🏻👏🏻👏🏻👏🏻,X,,,,X,
sting_ct_27,:musical_notes::musical_note::thumbs_up::partying_face::headphone:,X,,,,X,
air_ct_537,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
sting_ct_12,En plus je suis fan de FIP :winking_face:,,,,,,
moby_ct_571,:red_heart:,X,,,,,
moby_ct_456,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
air_ct_508,:fire:,X,,,,,
air_ct_370,🙌🏻,X,,,,X,
moby_ct_373,@el polaco :grinning_face: according to chat GPT no it's not,,,,,,
sting_ct_7,:sparkling_heart:,X,,,,,
air_ct_229,@RetroSound they are timeless and this album even more,X,,x,,,
moby_ct_28,Thanks for broadcasting ,,,,,,
sting_ct_69,:blue_heart::musical_notes:” and he will be the one she loves..:blue_heart::musical_notes: this song permeates into my soul.. ,X,,,,,
moby_ct_377,:smiling_cat_with_heart_eyes::heart_with_arrow::backhand_index_pointing_left::backhand_index_pointing_right::sign_of_the_horns:,X,,,,X,
moby_ct_460,amazing :red_heart:,x,,,,,
moby_ct_197,I think I just joined a cult,,,,,,
moby_ct_378,"hawt, hawt, hotness in the ears",X,,x,,,
moby_ct_420,Yes! Ring of Fire,X,,x,,,
air_ct_100,All i need right now.... air....,X,,,,,
moby_ct_49,love u all:red_heart:,X,,,,,
moby_ct_431,:fire:,X,,,,,
air_ct_482,"this band, this music, brings me hope in future... we need quality in music!!",X,,x,,,
sting_ct_28,Message In A Bottle .. new version :blue_heart::blue_heart::blue_heart::bouquet: cool,X,,x,,,
air_ct_460,@ARTE Concert merci ,,,,,,
moby_ct_23,:star_struck: Merci Arte Concert !! :smiling_face_with_hearts::face_blowing_a_kiss::face_blowing_a_kiss:,X,,,,X,
moby_ct_223,:speaker_high_volume::speaker_high_volume:,X,,,,,
moby_ct_579,thank you Arte concert for giving us this awesome night with Moby,X,,,,,
air_ct_499,RIGHT TAP ,,,,,,
moby_ct_116,quite a large venue for small Belgium :grinning_face:,X,,,,,
moby_ct_412,Sunshine :smiling_cat_with_heart_eyes:,X,,,,,
air_ct_260,:sparkling_heart::sparkling_heart::sparkling_heart:,X,,,,,
moby_ct_89,Nadia again :red_heart::red_heart::red_heart::fearful_face::loudly_crying_face::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_684,:yellow_heart:,X,,,,,
moby_ct_436,decades vegan ! before people even knew about veganism,,,,X,,
air_ct_179,thanks so much for broadcasting this ,,,,,,
nf_ct_139,i think Nils Frahm and Hania Rani in Concert would be awesome.,,,,X,,
moby_ct_481,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:,,,,,,
air_ct_318,Then Alone in Kyoto and Electronic Performers encore,,,x,X,,
moby_ct_365,porcelain was already catch it on the plaback! It was great,X,,x,X,,
moby_ct_107,love this song,X,,x,,,
moby_ct_275,Wow amazing version :red_heart: :red_heart: ,X,,,,,
air_ct_254,:musical_keyboard: :musical_keyboard: :musical_keyboard: :sparkles:,X,,,,,
sting_ct_50,Yes!!:blue_heart::blue_heart:Rushing Water!! ,X,,,,,
moby_ct_664,:yellow_heart::fire::fire:🙌🏼:sparkles:,X,,,,X,
air_ct_274,:red_heart:,X,,,,,
moby_ct_106,:purple_heart: ,X,,,,,
moby_ct_96,:blue_heart:,X,,,,,
moby_ct_669,THANKS ARTE!!!!!!!!!!!!!!!!!!!!!!!,,,,,,
moby_ct_128,:hand-orange-covering-eyes:,,,,,X,
moby_ct_135,:hot_beverage: cheers got my porcelain at hand:face-turquoise-drinking-coffee:,,,,,,
air_ct_357,the air is vibrating,X,,X,,,
moby_ct_292,i remember the video of this song... one of my favorite but this is so much better,X,,X,X,,
air_ct_233,my fave album performed beautifully live ,X,,X,,,
air_ct_273,This is my absolute fav :red_heart:,X,,X,,,
nf_ct_65,:red_heart: :red_heart: ,X,,,,,
moby_ct_192,release *,,,,,,
nf_ct_152,"I was just thinking :thinking_face: this reminds me of `Cluster the Eno project, Alex 👊🏼",,,,X,,
moby_ct_289,Arte :smiling_face_with_hearts: moby :smiling_face_with_hearts: merci :smiling_face_with_heart_eyes:,X,,,,,
air_ct_521,So fragile and epic in one moment,X,,,,,
moby_ct_194,this sounds like PSB,,,x,,,
moby_ct_310,happy 25 years,,,,,,
moby_ct_172,I listen to the 1 hr version of this on repeat...porcelain,X,,x,,,
air_ct_170,They played the whole album @Erick Landaburu ,,,x,,,
moby_ct_555,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_100,Moby signed my shirt with over 100 DJs from around the world :heart_suit:,,,,X,,
air_ct_457,:clinking_glasses:,X,,,,,
air_ct_59,:heart_suit::heart_suit::heart_suit::heart_suit: in love,X,,,,,
moby_ct_162,"That was perfect, crescendo style",X,,x,,,
air_ct_119,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::crying_face::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:,X,,,,,
moby_ct_384,:face-red-heart-shape:,X,,,,,
air_ct_97,BUT I NEVER FORGOT,,,,,,
moby_ct_33,Dance everybody!,,,,,X,
air_ct_474,"""For relaxing times, make it Suntory times."" ",,,x,X,,
air_ct_333,👏🏻👏🏻,X,,,,X,
air_ct_176,@Leesmap Man such a brilliant track !,X,,x,,,
moby_ct_450,sunshine 70 :blossom::hugging_face: hi Hun :face_blowing_a_kiss: just in time for a blow :wind_face::trumpet:along :winking_face:,X,,,,X,
air_ct_428,:revolving_hearts::revolving_hearts::revolving_hearts:,X,,,,,
nf_ct_122,keyboard composition of Nils are just . Wow,X,,x,,,
moby_ct_437,what a G,X,,,,,
moby_ct_582,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_180,that synth girl :eyes-pink-heart-shape:,X,,x,,,
air_ct_280,Love this so much. ,X,,,,,
nf_ct_131,the thought that music is audio `MATHS is ........,,,x,,,
moby_ct_477,"woohoooooo, one of the greatest, thank you arte !!!!!",X,,,,,
air_ct_307,yes it is,,,,,,
air_ct_72,Kelly Watch The Stars,,,X,X,,
air_ct_358,THE WOMEN ABOVE THE WOMEN BELOW THE MAKES IT TRUE,,,x,,,
air_ct_220,:blue_heart::white_heart::heart_suit:Everybody's talkin' at meI don't hear a word they're sayin'...lalala,X,,,,,
air_ct_447,A beautifully polished show! A rare gem these days...,X,,,,,
sting_ct_24,tomorrow's rain will wash the stains away ,,,x,,,
nf_ct_111,thanks @ARTE Concert ,,,,,,
air_ct_329,THIRD STRING ,X,,x,,,
air_ct_414,and the way they are interpreting it live OOOF,X,,x,,,
moby_ct_492,🇦🇷:red_heart:,X,,,,,
air_ct_369,:face-orange-raised-eyebrow:,,,,,,
air_ct_497,:hands-yellow-heart-red: :globe_with_meridians:,X,,,,,
moby_ct_298,that was the voice for 'in this world',,,,,,
air_ct_208,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_127,i like the original more,,,x,,,
air_ct_320,:glowing_star: :glowing_star: :glowing_star:,X,,,,,
air_ct_554,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
sting_ct_85,"I watch Kaamelott today, Sting is perfect",X,,,X,,
moby_ct_534,:grinning_squinting_face::upside_down_face::face_savoring_food:,X,,,,,
air_ct_359,@The Shooting Star :face-red-heart-shape:,X,,,,,
moby_ct_154,cello makes everything more lovely,X,,x,,,
nf_ct_43,many thanks for that concert of genius Nils Frahm,X,,,,,
air_ct_135,"Time machine, 24 years back, with this song.",,,x,X,,
nf_ct_40,and all in Latvia,,,,,,
air_ct_347,she has Alien eyes,X,,x,,,
moby_ct_685,:hand-pink-waving:,X,,,,X,
moby_ct_204,Go vegan thx Moby ,,,,,,
sting_ct_17,where is shaggy?,,,,,,
air_ct_524,:face_with_tears_of_joy:,X,,,,,X
air_ct_41,Hi from Prague,,,,,,
nf_ct_141,:exploding_head:,X,,,,,
moby_ct_468,:clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
sting_ct_61,And.. my super favorite! For Her Love! ,X,,,,,
moby_ct_376,:red_heart:,X,,,,,
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X
moby_ct_445,@Julian Reverse ahhh nooo what happened,,,,,,
nf_ct_172,Fair enough,,,,,,
air_ct_540,do it again please,X,,,,,
air_ct_405,Soaking in this nostalgia ,X,,,,,
air_ct_137,I love this album,X,,x,X,,
moby_ct_490,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
air_ct_344,from above,,,x,,,
air_ct_346,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
moby_ct_90,Ignoring Er C. Will not be provoked in such a peaceful place,,,,,,
moby_ct_360,this is insane,X,,,,,
air_ct_113,Great live version of All I Need ,X,,x,,,
air_ct_289,So selection of songs after this album end song then?,,,x,,,
air_ct_525,@ARTE Concert Always quality Thank You,,,,,,
nf_ct_105,Re :smiling_face_with_smiling_eyes:,X,,,,,
air_ct_207,hermoso,,,,,,
moby_ct_108,This song was from past Moby so yes he would approuve ,,,,,,
air_ct_218,"""Don't be live.."" (VirginSuicide)",,,,X,,
nf_ct_118,that's what i am doing. i don't have the authority to exclude stuff anyway. :face_with_tears_of_joy: nobody holds the truth.,,,,,,
air_ct_419,:high_voltage:,X,,,,,
moby_ct_498,Wonderful voice :heart_suit:,X,,x,,,
sting_ct_20,love it :folded_hands::red_heart:,X,,,,X,
moby_ct_620,:heart_with_arrow::heart_with_arrow::heart_with_arrow:,X,,,,,
moby_ct_383,"I love her voice, I miss this kind of voice in today's music. Everything has this little chicken falsettos ",X,,x,,,
sting_ct_81,"Greetings from Cincinnati, Ohio",,,,,,
moby_ct_381,coolest version of this song ever!,X,,x,,,
air_ct_446,this is so good:cat-orange-whistling:,X,,,,,
moby_ct_117,his most famous works use guitar,,,x,X,,
air_ct_489,:winking_face_with_tongue:,X,,,,,
moby_ct_266,:red_heart: ,X,,,,,
air_ct_386,:shooting_star:,X,,,,,
sting_ct_30,c'est temps suspend ton vol...magique ! :thumbs_up::red_heart::sparkling_heart::sparkling_heart:merci :folded_hands::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart:,,,,,,
air_ct_495,:full_moon_face::rocket:,X,,,,,
nf_ct_124,This is my favourite piece <3,X,,,,,
air_ct_297,I'm happy for you @Headsknow ,X,,,,,
moby_ct_175,:raising_hands::raising_hands::raising_hands:,X,,,,X,
air_ct_131,Noce!,X,,,,,
moby_ct_153,It's not quite the original sample,,,x,X,,
moby_ct_484,yezzzz :red_heart::musical_notes::red_heart::musical_notes::red_heart::musical_notes::red_heart:,X,,,,,
air_ct_172,chicas front rrow,,,,,,
sting_ct_44,I agree to you!! ,,,,,,
moby_ct_424,:smiling_face:,X,,,,,
air_ct_351,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,X,,,,,
sting_ct_56,that's Dom guitar tech on guitar,,,x,,,
air_ct_171,@Cyrana My favourite sunday morning record,X,,x,,,
moby_ct_639,"This ist called ""Thousand"". And it has 1000 BPM...",,,x,,,
air_ct_275,:smiling_face_with_smiling_eyes:,X,,,,,
air_ct_109,love is in the Air,X,,,,,
nf_ct_160,it's called the dunning kruger effect,,,,,,
sting_ct_38,:red_heart::red_heart::red_heart::red_heart::red_heart:,X,,,,,
moby_ct_455,:guitar::guitar::guitar::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-wide-eyes:,X,,,,,
moby_ct_606,:raised_fist::raised_fist::raised_fist::raised_fist::raised_fist:,X,,,,X,
air_ct_108,Thanks so much for this ARTE!:sparkling_heart:,X,,,,,
moby_ct_260,:open_hands::clapping_hands::raising_hands::open_hands::clapping_hands::raising_hands:,X,,,,X,
moby_ct_239,Lady Blackbird :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,x,,,
moby_ct_296,some folks seem to just crawl out there' caves and ... instantly start to text on YT chats:face-blue-droopy-eyes::dashing_away:,,,,,,
sting_ct_8,Wow..Sting:blue_heart::blue_heart::blue_heart:,X,,,,,
air_ct_305,:full_moon::waning_gibbous_moon::last_quarter_moon::waning_crescent_moon::new_moon:,,,,,,
moby_ct_561,:fire::fire::fire::fire::fire:,X,,,,,
air_ct_502,RIGHT RIGHT TAP,,,,,,
moby_ct_76,I love Moby and i love the guys of @ARTE Concert for their great performances - THANK YOU - merci! :yougotthis:,X,,,,,
air_ct_505,scary,,X,,,,
nf_ct_37,i would probably be the only one in the audience standing up and dancing lol,,,,,,
air_ct_204,:face-fuchsia-wide-eyes:,,,,,,
air_ct_360,Que manija locooo :blue_circle::white_circle::sun::white_circle::blue_circle:,,,,,,
moby_ct_207,Pet Shop Boys ,,,,,,
air_ct_465,:red_heart: to be lost,X,,,,,
air_ct_15,Kelly?,,,,X,,
air_ct_13,uk here MS is my fave album,,,,X,,
air_ct_283,"I was there the day before, on 30/5. A dream come true to see this live :sparkles::red_heart:",X,,,X,,
air_ct_541,Thanks Arte thanks Air ,,,,,,
moby_ct_458,nah whats this version xd,,X,x,,,
moby_ct_485,"Thank you, thank you, THANK YOU MOBY! Thank you, thank you, THANK YOU @ARTE Concert !",X,,,,,
nf_ct_53,:fire:,X,,,,,
nf_ct_186,"convert this to MIDI pls , haha",,,,,,
moby_ct_558,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_308,it is the famous clip with the train through the snow ,,,,X,,
nf_ct_20,"OMG, love him! Much love from Lyon!",X,,,,,
moby_ct_196,"Moby sounds on this live set a bit like a blend of Kraftwerk and Depeche Mode and himself, Moby, of course. Absolutely great stuff.",,,x,X,,
moby_ct_515,👏🏼👏🏼,X,,,,X,
moby_ct_430,I became vegan thanks to Moby. He is a great inspiration in so many areas.,X,,,X,,
moby_ct_125,The staging of this is grandiose,X,,,,,
air_ct_244,Visuals are absolutely stunning :star_struck: ,X,,,,,
nf_ct_34,So deep and rich and emotional. What a great musician!,X,,x,,,
moby_ct_398,"Watching in the background at work. It's 2:30pm in the afternoon here in Madison, WI",,,,,,
moby_ct_15,well he be playing lots of stuff :),X,,x,,,
air_ct_487,quality ...rare these days,X,,,,,
air_ct_256,reminders of the past,,,,X,,
air_ct_165,:place_of_worship:,X,,,,,
moby_ct_678,:black_heart:,X,,,,,
air_ct_440,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,X,,,,X,
nf_ct_27,Greetings from southern Spain,,,,,,
moby_ct_138,Ok merci @ARTE Concert. :red_heart:,X,,,,,
air_ct_500,:face-red-heart-shape:,X,,,,,
moby_ct_523,👏🏼👏🏼👏🏼:red_heart:,X,,,,X,
moby_ct_20,"@ARTE Concert Yes, I've seen lots of shows which were great! This one isn't sadly.",,X,,X,,
nf_ct_170,definitely not,,,,,,
nf_ct_195,:red_heart:👏🏻👏🏻👏🏻 bravoooo,X,,,,X,
nf_ct_25,"Finally new live music from Nils, recorded with the technical excellence of the Arte team.Thank you so much! :)",X,,x,,,
moby_ct_434,wow he has a good voice for country!!,X,,,,,
moby_ct_209,Lovely,X,,,,,
air_ct_407,Please come to Japan:heart_exclamation:,X,,,,,
moby_ct_274,feeeelzz:hands-yellow-heart-red::hands-yellow-heart-red::face-turquoise-music-note::person-pink-swaying-hair::pillow-turquoise-hot-chocolate::fish-orange-wide-eyes:,X,,,,,
air_ct_328,:eyes-pink-heart-shape:,X,,,,,
air_ct_215,:popcorn-yellow-striped-smile:,X,,,,,
moby_ct_646,:collision::collision::collision::raised_fist::raised_fist:,X,,,,,
air_ct_517,Where is sawtooth solo on MS-20,,,x,,,
air_ct_306,Venus Cherry Blossom Girl Run Highschool Lover Surfing on a Rocket Don't Be Light ...,X,,x,,,
moby_ct_375,Choklate :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_24,it's go,,,,,,
nf_ct_132,your intelligence is your entire attention. intellect is the only tool for triangulating in any architecture everything available for accessing. everything.,,,,,,
moby_ct_318,:red_heart: ,X,,,,,
air_ct_63,Sexy song,X,,x,,,
moby_ct_589,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
air_ct_21,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
air_ct_295,well there is radian,,,x,,,
air_ct_456,Lost in Translation ,,,,x,,
moby_ct_399,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
sting_ct_6,In about 3min!!,,,,,,
moby_ct_366,extreme ways is so powerful track...,X,,x,,,
air_ct_356,:horse_racing::skier::person_surfing::person_rowing_boat::person_swimming:....:mermaid:,,,,,,
air_ct_200,"My TV harmaKardon is satured, but it's so nice",X,,,,,
moby_ct_435,Country dancing ,,,,,,
air_ct_350,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,X,,,,,
air_ct_168,Talisman:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_80,anyone have a tissue?,X,,,,,
moby_ct_423,I FELL IN TO A BURNING RING OF FIRE,,,x,,,
air_ct_255,26 years and still so vanguard Masters,X,,,,,
moby_ct_52,It's great that people are here from everywhere-Global Arte Community in Musica,X,,,,,
moby_ct_130,"What life would be without the songs or dance what are we, so I say thank you for the music giving it to me ",,,x,,,
nf_ct_192,which everyone but one individual here seems to be good vibes ;),X,,,,,
moby_ct_21,Eric does hate watching not good for your brain,,,,,,
moby_ct_429,<- is a trumpet (apparently) ,,,,,,
sting_ct_41,:heart_decoration:SOS:heart_decoration:,X,,,,,
moby_ct_234,when is the next Moby concert and in which country?,,,,,,
moby_ct_85,They look like three angels 👏🏻👏🏻👏🏻,X,,,,X,
moby_ct_640,La wea hermosaaaa:heart_on_fire:,X,,,,,
nf_ct_100,Lovely concert . Listening in my garden with the sound of birds as backing vocals :winking_face:,X,,,,,
moby_ct_145,I was there in Torhout!,,,,X,,
moby_ct_644,GO VEGAN :red_heart: ARGENTINA MOBY ,X,,,X,,
air_ct_160,i'm in tears !! so amazing <3,X,,,,,X
air_ct_92,sexy air,X,,,,,
air_ct_152,Very soon @HIPNOSIS FESTIVAL MEXICO,,,,,,
air_ct_436,yes they are,,,,,,
air_ct_311,:blue_heart::white_heart::heart_suit:,X,,,,,
air_ct_150,oush this one...,,,,,,
air_ct_293,:glowing_star:,X,,,,,
nf_ct_150,"i can't tell what is first or second, it's not linear to me. it's at least omni-dimensional. fcs up time, you can live eternities with each nanosecond, from all directions, running from any pattern.",,X,,,,
moby_ct_374,OMG OMG :red_heart: :red_heart: :red_heart: TUNE!,X,,,,,
moby_ct_179,:red_heart:Welcome Dear Moby Starseed!:two_hearts:,X,,,,,
moby_ct_512,"Fantastic show. Thanks for broadcasting and thanks to the chat here, too. Have a good one yall",X,,,,,
air_ct_353,:eyes-pink-heart-shape:,X,,,,,
nf_ct_199,"Awesome, thanks arte!",X,,,,,
air_ct_324,BUT IF U NEED HELP,X,,x,,,
sting_ct_14,:heart_suit::heart_suit::heart_suit:,X,,,,,
nf_ct_76,goot :disappointed_face: good :slightly_smiling_face:,,,,,,
nf_ct_157,oh yeah of course! how could I forget Vangelis LOL,,,,X,,
moby_ct_123,Moby came out of the punk scene with The Vatican Commandos primarely,,,,X,,
moby_ct_8,agree lol ,X,,,,,
moby_ct_58,Gone in 60 seconds,,,,,,
moby_ct_263,"""tf"" :face_with_tears_of_joy: your an offly fekn sweary blighter",,,,,,
nf_ct_144,What would Brian Eno say to this music? ,,,x,X,,
air_ct_237,Baby Blue ?,,,,X,,
nf_ct_71,"haha, Alessio trying to liven up this chat a little - and it's working :slightly_smiling_face:",,,,,,
